Namespace(model_path='../../checkpoints/resnet18_cifar10_200.pt', no_cuda=False, target_num=50, test_batch_size=50)
target count: 50
Files already downloaded and verified
======Load Model======
======Make Targets======
======Start Attack======
=======Attacking Target 0=======
Trying: 2 ------> some others
theta_m tensor(-2.9399, device='cuda:0') tensor(3.2508, device='cuda:0')
theta_p tensor(-4.3311, device='cuda:0') tensor(4.4902, device='cuda:0')
step:   1, lambda: 0.00000, attack: 0.900, cls: 19.095261, reg: 511.417917, reg_best: inf
step:  79, lambda: 0.12800, attack: 1.000, cls: 64.297338, reg: 471.354471, reg_best: 471.354471
step:  80, lambda: 0.12800, attack: 1.000, cls: 64.448446, reg: 466.992865, reg_best: 466.992865
step:  81, lambda: 0.12800, attack: 1.000, cls: 64.706993, reg: 462.809863, reg_best: 462.809863
step:  82, lambda: 0.12800, attack: 1.000, cls: 65.087535, reg: 458.946951, reg_best: 458.946951
up lambda from 0.12800 to 0.25600
step:  83, lambda: 0.25600, attack: 1.000, cls: 64.986322, reg: 453.722888, reg_best: 453.722888
step:  84, lambda: 0.25600, attack: 1.000, cls: 64.741730, reg: 448.089920, reg_best: 448.089920
step:  85, lambda: 0.25600, attack: 1.000, cls: 64.643518, reg: 441.589174, reg_best: 441.589174
step:  86, lambda: 0.25600, attack: 1.000, cls: 65.097793, reg: 435.727705, reg_best: 435.727705
step:  87, lambda: 0.25600, attack: 1.000, cls: 64.744085, reg: 430.812125, reg_best: 430.812125
step:  88, lambda: 0.25600, attack: 1.000, cls: 64.634683, reg: 426.481830, reg_best: 426.481830
step:  89, lambda: 0.25600, attack: 1.000, cls: 64.213127, reg: 419.221851, reg_best: 419.221851
step:  90, lambda: 0.25600, attack: 1.000, cls: 63.940019, reg: 412.494998, reg_best: 412.494998
step:  91, lambda: 0.25600, attack: 1.000, cls: 63.875422, reg: 407.810919, reg_best: 407.810919
step:  92, lambda: 0.25600, attack: 1.000, cls: 64.080568, reg: 400.889453, reg_best: 400.889453
up lambda from 0.25600 to 0.51200
step:  93, lambda: 0.51200, attack: 1.000, cls: 64.206497, reg: 392.008493, reg_best: 392.008493
step:  94, lambda: 0.51200, attack: 1.000, cls: 63.708103, reg: 381.500351, reg_best: 381.500351
step:  95, lambda: 0.51200, attack: 1.000, cls: 63.351731, reg: 373.981720, reg_best: 373.981720
step:  96, lambda: 0.51200, attack: 1.000, cls: 62.873883, reg: 366.494531, reg_best: 366.494531
step:  97, lambda: 0.51200, attack: 1.000, cls: 62.577128, reg: 356.832285, reg_best: 356.832285
step:  98, lambda: 0.51200, attack: 1.000, cls: 62.223471, reg: 349.121214, reg_best: 349.121214
step:  99, lambda: 0.51200, attack: 1.000, cls: 61.455441, reg: 339.126369, reg_best: 339.126369
step: 100, lambda: 0.51200, attack: 1.000, cls: 61.160927, reg: 328.582047, reg_best: 328.582047
step: 101, lambda: 0.51200, attack: 1.000, cls: 60.626353, reg: 319.305716, reg_best: 319.305716
step: 102, lambda: 0.51200, attack: 1.000, cls: 60.482282, reg: 310.285683, reg_best: 310.285683
up lambda from 0.51200 to 1.02400
step: 103, lambda: 1.02400, attack: 1.000, cls: 59.185849, reg: 294.108841, reg_best: 294.108841
step: 104, lambda: 1.02400, attack: 1.000, cls: 57.490246, reg: 272.489618, reg_best: 272.489618
step: 105, lambda: 1.02400, attack: 1.000, cls: 55.776644, reg: 254.583655, reg_best: 254.583655
step: 106, lambda: 1.02400, attack: 1.000, cls: 54.453888, reg: 235.107955, reg_best: 235.107955
step: 107, lambda: 1.02400, attack: 1.000, cls: 52.753957, reg: 216.641941, reg_best: 216.641941
step: 108, lambda: 1.02400, attack: 1.000, cls: 51.102851, reg: 201.220235, reg_best: 201.220235
step: 109, lambda: 1.02400, attack: 1.000, cls: 49.163360, reg: 184.355766, reg_best: 184.355766
step: 110, lambda: 1.02400, attack: 1.000, cls: 47.628581, reg: 168.913546, reg_best: 168.913546
step: 111, lambda: 1.02400, attack: 1.000, cls: 46.063256, reg: 155.655042, reg_best: 155.655042
step: 112, lambda: 1.02400, attack: 1.000, cls: 44.813675, reg: 142.056469, reg_best: 142.056469
up lambda from 1.02400 to 2.04800
step: 113, lambda: 2.04800, attack: 1.000, cls: 41.015067, reg: 123.000653, reg_best: 123.000653
step: 114, lambda: 2.04800, attack: 1.000, cls: 36.494059, reg: 99.644930, reg_best: 99.644930
step: 115, lambda: 2.04800, attack: 1.000, cls: 32.406064, reg: 80.934890, reg_best: 80.934890
step: 116, lambda: 2.04800, attack: 1.000, cls: 29.554447, reg: 64.650198, reg_best: 64.650198
step: 117, lambda: 2.04800, attack: 1.000, cls: 27.817234, reg: 50.205202, reg_best: 50.205202
step: 118, lambda: 2.04800, attack: 1.000, cls: 27.345783, reg: 39.650480, reg_best: 39.650480
step: 119, lambda: 2.04800, attack: 1.000, cls: 27.431322, reg: 33.029599, reg_best: 33.029599
step: 120, lambda: 2.04800, attack: 1.000, cls: 26.545661, reg: 27.787381, reg_best: 27.787381
step: 121, lambda: 2.04800, attack: 1.000, cls: 25.921374, reg: 23.930860, reg_best: 23.930860
step: 122, lambda: 2.04800, attack: 1.000, cls: 24.735535, reg: 20.598529, reg_best: 20.598529
up lambda from 2.04800 to 4.09600
step: 123, lambda: 4.09600, attack: 1.000, cls: 21.939427, reg: 16.525724, reg_best: 16.525724
step: 124, lambda: 4.09600, attack: 1.000, cls: 18.365631, reg: 12.945400, reg_best: 12.945400
step: 125, lambda: 4.09600, attack: 1.000, cls: 18.981794, reg: 11.715168, reg_best: 11.715168
step: 126, lambda: 4.09600, attack: 1.000, cls: 18.959498, reg: 10.877217, reg_best: 10.877217
step: 127, lambda: 4.09600, attack: 1.000, cls: 17.580336, reg: 9.899948, reg_best: 9.899948
step: 128, lambda: 4.09600, attack: 1.000, cls: 17.385517, reg: 9.505964, reg_best: 9.505964
step: 129, lambda: 4.09600, attack: 1.000, cls: 18.754433, reg: 9.402457, reg_best: 9.402457
step: 130, lambda: 4.09600, attack: 1.000, cls: 19.074949, reg: 9.186586, reg_best: 9.186586
step: 131, lambda: 4.09600, attack: 1.000, cls: 18.778014, reg: 8.990574, reg_best: 8.990574
step: 132, lambda: 4.09600, attack: 1.000, cls: 17.741941, reg: 8.601437, reg_best: 8.601437
up lambda from 4.09600 to 8.19200
step: 133, lambda: 8.19200, attack: 1.000, cls: 16.311118, reg: 7.990632, reg_best: 7.990632
step: 134, lambda: 8.19200, attack: 1.000, cls: 12.099223, reg: 6.959802, reg_best: 6.959802
step: 135, lambda: 8.19200, attack: 0.450, cls: 2.282606, reg: 5.352733, reg_best: 6.959802
step: 136, lambda: 8.19200, attack: 0.000, cls: 0.000072, reg: 3.528117, reg_best: 6.959802
step: 137, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 2.170434, reg_best: 6.959802
step: 138, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.857385, reg_best: 6.959802
step: 139, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.246952, reg_best: 6.959802
step: 140, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.087891, reg_best: 6.959802
step: 141, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.034544, reg_best: 6.959802
step: 142, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.014058, reg_best: 6.959802
step: 143, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.005797, reg_best: 6.959802
step: 144, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.002402, reg_best: 6.959802
down lambda from 8.19200 to 2.59054
step: 145, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.001220, reg_best: 6.959802
step: 146, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000750, reg_best: 6.959802
step: 147, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000374, reg_best: 6.959802
step: 148, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000165, reg_best: 6.959802
step: 149, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000069, reg_best: 6.959802
step: 150, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000029, reg_best: 6.959802
step: 151, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000012, reg_best: 6.959802
step: 152, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000005, reg_best: 6.959802
step: 153, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000002, reg_best: 6.959802
step: 154, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000001, reg_best: 6.959802
down lambda from 2.59054 to 0.81920
step: 155, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 156, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 157, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 158, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 159, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 160, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 161, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 162, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 163, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 164, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
down lambda from 0.81920 to 0.25905
step: 165, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 166, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 167, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 168, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 169, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 170, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 171, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 172, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 173, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 174, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
down lambda from 0.25905 to 0.08192
step: 175, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 176, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 177, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 178, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 179, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 180, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 181, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 182, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 183, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
step: 184, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 6.959802
early stop
From 2 to 6
Current mask: tensor([[[0., 0., 0.,  ..., 0., 0., 0.],
         [0., 0., 0.,  ..., 0., 0., 0.],
         [0., 0., 0.,  ..., 0., 0., 0.],
         ...,
         [0., 0., 0.,  ..., 0., 0., 0.],
         [0., 0., 0.,  ..., 0., 0., 0.],
         [0., 0., 0.,  ..., 0., 0., 0.]]], device='cuda:0',
       grad_fn=<BernoulliBackward0>)
Current l0 norm: 7
Current l1 norm: 7.0
Current l2 norm: 2.6457512378692627
mask: (32, 32) 0.0 1.0
pattern: (32, 32, 3) 0.0 0.9999999
=======Attacking Target 1=======
Trying: 3 ------> some others
theta_m tensor(-3.0633, device='cuda:0') tensor(3.2243, device='cuda:0')
theta_p tensor(-4.6174, device='cuda:0') tensor(4.4280, device='cuda:0')
step:   1, lambda: 0.00000, attack: 1.000, cls: 24.874658, reg: 504.749834, reg_best: 504.749834
initialize lambda to 0.00100
step:   2, lambda: 0.00100, attack: 1.000, cls: 30.639557, reg: 505.866069, reg_best: 504.749834
step:   3, lambda: 0.00100, attack: 1.000, cls: 33.599703, reg: 507.008221, reg_best: 504.749834
step:   4, lambda: 0.00100, attack: 1.000, cls: 35.306160, reg: 508.929376, reg_best: 504.749834
step:   5, lambda: 0.00100, attack: 1.000, cls: 36.019053, reg: 513.318518, reg_best: 504.749834
step:   6, lambda: 0.00100, attack: 1.000, cls: 37.127236, reg: 515.424051, reg_best: 504.749834
step:   7, lambda: 0.00100, attack: 1.000, cls: 37.653210, reg: 517.936880, reg_best: 504.749834
step:   8, lambda: 0.00100, attack: 1.000, cls: 38.428277, reg: 520.448022, reg_best: 504.749834
step:   9, lambda: 0.00100, attack: 1.000, cls: 39.450698, reg: 521.124374, reg_best: 504.749834
step:  10, lambda: 0.00100, attack: 1.000, cls: 39.685999, reg: 523.022977, reg_best: 504.749834
step:  11, lambda: 0.00100, attack: 1.000, cls: 39.869441, reg: 518.150708, reg_best: 504.749834
up lambda from 0.00100 to 0.00200
step:  12, lambda: 0.00200, attack: 1.000, cls: 40.223786, reg: 520.714270, reg_best: 504.749834
step:  13, lambda: 0.00200, attack: 1.000, cls: 40.802797, reg: 520.899973, reg_best: 504.749834
step:  14, lambda: 0.00200, attack: 1.000, cls: 41.191751, reg: 516.039117, reg_best: 504.749834
step:  15, lambda: 0.00200, attack: 1.000, cls: 41.453017, reg: 515.056558, reg_best: 504.749834
step:  16, lambda: 0.00200, attack: 1.000, cls: 42.060054, reg: 515.929813, reg_best: 504.749834
step:  17, lambda: 0.00200, attack: 1.000, cls: 42.614660, reg: 517.197046, reg_best: 504.749834
step:  18, lambda: 0.00200, attack: 1.000, cls: 42.810158, reg: 517.057596, reg_best: 504.749834
step:  19, lambda: 0.00200, attack: 1.000, cls: 43.207862, reg: 517.473685, reg_best: 504.749834
step:  20, lambda: 0.00200, attack: 1.000, cls: 43.665158, reg: 517.405966, reg_best: 504.749834
step:  21, lambda: 0.00200, attack: 1.000, cls: 43.636529, reg: 514.061722, reg_best: 504.749834
up lambda from 0.00200 to 0.00400
step:  22, lambda: 0.00400, attack: 1.000, cls: 43.830746, reg: 511.727560, reg_best: 504.749834
step:  23, lambda: 0.00400, attack: 1.000, cls: 43.654340, reg: 512.326048, reg_best: 504.749834
step:  24, lambda: 0.00400, attack: 1.000, cls: 44.075421, reg: 515.962106, reg_best: 504.749834
step:  25, lambda: 0.00400, attack: 1.000, cls: 44.366543, reg: 518.012622, reg_best: 504.749834
step:  26, lambda: 0.00400, attack: 1.000, cls: 44.732969, reg: 518.384549, reg_best: 504.749834
step:  27, lambda: 0.00400, attack: 1.000, cls: 44.853486, reg: 517.371082, reg_best: 504.749834
step:  28, lambda: 0.00400, attack: 1.000, cls: 45.247673, reg: 518.718665, reg_best: 504.749834
step:  29, lambda: 0.00400, attack: 1.000, cls: 45.309128, reg: 518.856912, reg_best: 504.749834
step:  30, lambda: 0.00400, attack: 1.000, cls: 45.278660, reg: 518.035233, reg_best: 504.749834
step:  31, lambda: 0.00400, attack: 1.000, cls: 45.060549, reg: 518.899612, reg_best: 504.749834
up lambda from 0.00400 to 0.00800
step:  32, lambda: 0.00800, attack: 1.000, cls: 45.473725, reg: 522.110159, reg_best: 504.749834
step:  33, lambda: 0.00800, attack: 1.000, cls: 45.549438, reg: 524.274362, reg_best: 504.749834
step:  34, lambda: 0.00800, attack: 1.000, cls: 45.653071, reg: 523.966864, reg_best: 504.749834
step:  35, lambda: 0.00800, attack: 1.000, cls: 45.704995, reg: 522.083853, reg_best: 504.749834
step:  36, lambda: 0.00800, attack: 1.000, cls: 45.838537, reg: 518.765961, reg_best: 504.749834
step:  37, lambda: 0.00800, attack: 1.000, cls: 45.823473, reg: 516.577216, reg_best: 504.749834
step:  38, lambda: 0.00800, attack: 1.000, cls: 45.787399, reg: 516.602145, reg_best: 504.749834
step:  39, lambda: 0.00800, attack: 1.000, cls: 45.680994, reg: 516.150082, reg_best: 504.749834
step:  40, lambda: 0.00800, attack: 1.000, cls: 46.113928, reg: 518.759381, reg_best: 504.749834
step:  41, lambda: 0.00800, attack: 1.000, cls: 46.632264, reg: 524.913300, reg_best: 504.749834
up lambda from 0.00800 to 0.01600
step:  42, lambda: 0.01600, attack: 1.000, cls: 47.106153, reg: 525.031854, reg_best: 504.749834
step:  43, lambda: 0.01600, attack: 1.000, cls: 47.138579, reg: 524.487192, reg_best: 504.749834
step:  44, lambda: 0.01600, attack: 1.000, cls: 47.170529, reg: 523.054584, reg_best: 504.749834
step:  45, lambda: 0.01600, attack: 1.000, cls: 47.090643, reg: 521.782932, reg_best: 504.749834
step:  46, lambda: 0.01600, attack: 1.000, cls: 46.871564, reg: 519.461841, reg_best: 504.749834
step:  47, lambda: 0.01600, attack: 1.000, cls: 46.861131, reg: 520.988248, reg_best: 504.749834
step:  48, lambda: 0.01600, attack: 1.000, cls: 47.181304, reg: 519.602829, reg_best: 504.749834
step:  49, lambda: 0.01600, attack: 1.000, cls: 47.274675, reg: 518.503006, reg_best: 504.749834
step:  50, lambda: 0.01600, attack: 1.000, cls: 47.283882, reg: 518.671613, reg_best: 504.749834
step:  51, lambda: 0.01600, attack: 1.000, cls: 47.409843, reg: 517.179816, reg_best: 504.749834
up lambda from 0.01600 to 0.03200
step:  52, lambda: 0.03200, attack: 1.000, cls: 47.876939, reg: 517.039969, reg_best: 504.749834
step:  53, lambda: 0.03200, attack: 1.000, cls: 48.040304, reg: 517.305447, reg_best: 504.749834
step:  54, lambda: 0.03200, attack: 1.000, cls: 48.421492, reg: 514.640585, reg_best: 504.749834
step:  55, lambda: 0.03200, attack: 1.000, cls: 48.207562, reg: 515.192560, reg_best: 504.749834
