Namespace(model_path='../../checkpoints/resnet18_cifar10_200.pt', no_cuda=False, target_num=20, test_batch_size=50)
target count: 20
Files already downloaded and verified
======Load Model======
======Make Targets======
======Start Attack======
=======Attacking Target 0=======
Trying: 6 ------> some others
theta_m tensor(-7.1665, device='cuda:0') tensor(3.9930, device='cuda:0')
theta_p tensor(-4.4273, device='cuda:0') tensor(4.5398, device='cuda:0')
=========Processing epoch 0=========
step:   1, lambda: 0.00000, attack: 0.950, cls: 20.510497, reg: 507.344713, reg_best: 507.344713
down lambda from 0.25905 to 0.08192
step: 178, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 179, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 180, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 181, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 182, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 183, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 184, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 185, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 186, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 187, lambda: 0.08192, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
early stop
From 6 to 2
Current mask: tensor([[[1.4305e-06, 5.9605e-07, 1.7881e-07,  ..., 2.8014e-06,
          4.1723e-07, 1.1921e-07],
         [2.9802e-08, 1.3113e-06, 1.0610e-05,  ..., 4.1723e-07,
          2.6822e-07, 5.9605e-07],
         [1.4901e-07, 8.9407e-08, 2.0862e-07,  ..., 1.7643e-05,
          8.9407e-08, 4.0829e-06],
         ...,
